person,block,condition,trial,attempt,id,item_class,x,y
19,prac2_conj,conj_grid,0,1,1,dist_class1,-304.0,-351.0
19,prac2_conj,conj_grid,0,1,2,targ_class2,-214.0,-349.0
19,prac2_conj,conj_grid,0,1,3,targ_class1,-139.0,-332.0
19,prac2_conj,conj_grid,0,1,4,targ_class2,-2.0,-298.0
19,prac2_conj,conj_grid,0,1,5,dist_class2,139.0,-295.0
19,prac2_conj,conj_grid,0,1,6,targ_class1,245.0,-303.0
19,prac2_conj,conj_grid,0,1,7,targ_class1,303.0,-304.0
19,prac2_conj,conj_grid,0,1,8,dist_class1,-341.0,-215.0
19,prac2_conj,conj_grid,0,1,9,targ_class2,-230.0,-187.0
19,prac2_conj,conj_grid,0,1,10,dist_class2,-92.0,-202.0
19,prac2_conj,conj_grid,0,1,11,targ_class2,-9.0,-193.0
19,prac2_conj,conj_grid,0,1,12,targ_class1,134.0,-234.0
19,prac2_conj,conj_grid,0,1,13,targ_class2,203.0,-204.0
19,prac2_conj,conj_grid,0,1,14,targ_class2,349.0,-230.0
19,prac2_conj,conj_grid,0,1,15,targ_class2,-299.0,-78.0
19,prac2_conj,conj_grid,0,1,16,targ_class2,-212.0,-125.0
19,prac2_conj,conj_grid,0,1,17,dist_class1,-106.0,-121.0
19,prac2_conj,conj_grid,0,1,18,dist_class2,-24.0,-111.0
19,prac2_conj,conj_grid,0,1,19,dist_class1,116.0,-125.0
19,prac2_conj,conj_grid,0,1,20,dist_class2,213.0,-86.0
19,prac2_conj,conj_grid,0,1,21,dist_class2,320.0,-88.0
19,prac2_conj,conj_grid,0,1,22,dist_class2,-285.0,16.0
19,prac2_conj,conj_grid,0,1,23,dist_class1,-220.0,21.0
19,prac2_conj,conj_grid,0,1,24,targ_class1,-114.0,-8.0
19,prac2_conj,conj_grid,0,1,25,dist_class2,8.0,7.0
19,prac2_conj,conj_grid,0,1,26,dist_class1,143.0,-16.0
19,prac2_conj,conj_grid,0,1,27,targ_class2,196.0,5.0
19,prac2_conj,conj_grid,0,1,28,targ_class1,324.0,-32.0
19,prac2_conj,conj_grid,0,1,29,targ_class1,-324.0,102.0
19,prac2_conj,conj_grid,0,1,30,dist_class1,-224.0,93.0
19,prac2_conj,conj_grid,0,1,31,dist_class2,-138.0,96.0
19,prac2_conj,conj_grid,0,1,32,dist_class1,-4.0,99.0
19,prac2_conj,conj_grid,0,1,33,targ_class2,128.0,95.0
19,prac2_conj,conj_grid,0,1,34,dist_class1,203.0,105.0
19,prac2_conj,conj_grid,0,1,35,targ_class1,305.0,96.0
19,prac2_conj,conj_grid,0,1,36,dist_class1,-328.0,212.0
19,prac2_conj,conj_grid,0,1,37,targ_class2,-217.0,219.0
19,prac2_conj,conj_grid,0,1,38,targ_class1,-117.0,221.0
19,prac2_conj,conj_grid,0,1,39,targ_class1,-2.0,215.0
19,prac2_conj,conj_grid,0,1,40,targ_class1,125.0,204.0
19,prac2_conj,conj_grid,0,1,41,dist_class1,167.0,251.0
19,prac2_conj,conj_grid,0,1,42,targ_class2,326.0,243.0
19,prac2_conj,conj_grid,0,1,43,dist_class1,-312.0,318.0
19,prac2_conj,conj_grid,0,1,44,dist_class2,-208.0,324.0
19,prac2_conj,conj_grid,0,1,45,dist_class2,-88.0,332.0
19,prac2_conj,conj_grid,0,1,46,dist_class2,4.0,305.0
19,prac2_conj,conj_grid,0,1,47,dist_class2,105.0,334.0
19,prac2_conj,conj_grid,0,1,48,dist_class2,215.0,315.0
19,prac2_conj,conj_grid,0,1,49,targ_class1,344.0,311.0
19,prac2_conj,conj_grid,0,2,1,targ_class1,-304.0,-310.0
19,prac2_conj,conj_grid,0,2,2,dist_class2,-220.0,-333.0
19,prac2_conj,conj_grid,0,2,3,dist_class1,-118.0,-303.0
19,prac2_conj,conj_grid,0,2,4,targ_class2,8.0,-320.0
19,prac2_conj,conj_grid,0,2,5,dist_class2,138.0,-306.0
19,prac2_conj,conj_grid,0,2,6,targ_class2,214.0,-338.0
19,prac2_conj,conj_grid,0,2,7,targ_class1,343.0,-356.0
19,prac2_conj,conj_grid,0,2,8,dist_class1,-313.0,-224.0
19,prac2_conj,conj_grid,0,2,9,dist_class2,-218.0,-198.0
19,prac2_conj,conj_grid,0,2,10,dist_class2,-127.0,-213.0
19,prac2_conj,conj_grid,0,2,11,dist_class2,-15.0,-233.0
19,prac2_conj,conj_grid,0,2,12,targ_class2,138.0,-227.0
19,prac2_conj,conj_grid,0,2,13,targ_class2,226.0,-238.0
19,prac2_conj,conj_grid,0,2,14,dist_class1,347.0,-198.0
19,prac2_conj,conj_grid,0,2,15,dist_class1,-350.0,-124.0
19,prac2_conj,conj_grid,0,2,16,dist_class1,-250.0,-121.0
19,prac2_conj,conj_grid,0,2,17,targ_class1,-88.0,-129.0
19,prac2_conj,conj_grid,0,2,18,targ_class1,3.0,-134.0
19,prac2_conj,conj_grid,0,2,19,dist_class2,106.0,-108.0
19,prac2_conj,conj_grid,0,2,20,dist_class1,251.0,-90.0
19,prac2_conj,conj_grid,0,2,21,targ_class2,323.0,-92.0
19,prac2_conj,conj_grid,0,2,22,dist_class1,-362.0,-13.0
19,prac2_conj,conj_grid,0,2,23,targ_class2,-226.0,9.0
19,prac2_conj,conj_grid,0,2,24,targ_class1,-116.0,-22.0
19,prac2_conj,conj_grid,0,2,25,targ_class2,-8.0,-0.0
19,prac2_conj,conj_grid,0,2,26,dist_class2,119.0,0.0
19,prac2_conj,conj_grid,0,2,27,dist_class2,206.0,3.0
19,prac2_conj,conj_grid,0,2,28,targ_class1,307.0,12.0
19,prac2_conj,conj_grid,0,2,29,dist_class1,-339.0,124.0
19,prac2_conj,conj_grid,0,2,30,targ_class1,-218.0,87.0
19,prac2_conj,conj_grid,0,2,31,targ_class1,-103.0,129.0
19,prac2_conj,conj_grid,0,2,32,targ_class2,39.0,108.0
19,prac2_conj,conj_grid,0,2,33,dist_class1,111.0,102.0
19,prac2_conj,conj_grid,0,2,34,dist_class2,195.0,119.0
19,prac2_conj,conj_grid,0,2,35,targ_class2,294.0,139.0
19,prac2_conj,conj_grid,0,2,36,dist_class1,-354.0,218.0
19,prac2_conj,conj_grid,0,2,37,targ_class1,-238.0,236.0
19,prac2_conj,conj_grid,0,2,38,dist_class2,-144.0,186.0
19,prac2_conj,conj_grid,0,2,39,dist_class1,8.0,206.0
19,prac2_conj,conj_grid,0,2,40,dist_class2,101.0,210.0
19,prac2_conj,conj_grid,0,2,41,targ_class2,202.0,245.0
19,prac2_conj,conj_grid,0,2,42,dist_class2,342.0,219.0
19,prac2_conj,conj_grid,0,2,43,targ_class2,-297.0,348.0
19,prac2_conj,conj_grid,0,2,44,dist_class1,-221.0,345.0
19,prac2_conj,conj_grid,0,2,45,targ_class1,-121.0,325.0
19,prac2_conj,conj_grid,0,2,46,targ_class1,-4.0,352.0
19,prac2_conj,conj_grid,0,2,47,dist_class2,115.0,298.0
19,prac2_conj,conj_grid,0,2,48,targ_class2,234.0,321.0
19,prac2_conj,conj_grid,0,2,49,targ_class1,336.0,323.0
19,prac2_conj,conj_grid,0,3,1,targ_class2,-325.0,-341.0
19,prac2_conj,conj_grid,0,3,2,targ_class1,-182.0,-288.0
19,prac2_conj,conj_grid,0,3,3,dist_class1,-84.0,-336.0
19,prac2_conj,conj_grid,0,3,4,dist_class2,-19.0,-308.0
19,prac2_conj,conj_grid,0,3,5,dist_class2,114.0,-307.0
19,prac2_conj,conj_grid,0,3,6,targ_class1,226.0,-307.0
19,prac2_conj,conj_grid,0,3,7,dist_class2,312.0,-346.0
19,prac2_conj,conj_grid,0,3,8,dist_class2,-312.0,-192.0
19,prac2_conj,conj_grid,0,3,9,targ_class2,-208.0,-228.0
19,prac2_conj,conj_grid,0,3,10,targ_class2,-92.0,-199.0
19,prac2_conj,conj_grid,0,3,11,targ_class2,20.0,-213.0
19,prac2_conj,conj_grid,0,3,12,targ_class2,132.0,-201.0
19,prac2_conj,conj_grid,0,3,13,targ_class2,205.0,-214.0
19,prac2_conj,conj_grid,0,3,14,targ_class2,314.0,-194.0
19,prac2_conj,conj_grid,0,3,15,targ_class1,-331.0,-109.0
19,prac2_conj,conj_grid,0,3,16,dist_class1,-203.0,-123.0
19,prac2_conj,conj_grid,0,3,17,targ_class2,-110.0,-116.0
19,prac2_conj,conj_grid,0,3,18,dist_class1,9.0,-97.0
19,prac2_conj,conj_grid,0,3,19,dist_class2,136.0,-125.0
19,prac2_conj,conj_grid,0,3,20,targ_class2,221.0,-97.0
19,prac2_conj,conj_grid,0,3,21,targ_class1,306.0,-99.0
19,prac2_conj,conj_grid,0,3,22,dist_class2,-339.0,-19.0
19,prac2_conj,conj_grid,0,3,23,dist_class1,-224.0,1.0
19,prac2_conj,conj_grid,0,3,24,dist_class1,-100.0,-6.0
19,prac2_conj,conj_grid,0,3,25,dist_class2,1.0,11.0
19,prac2_conj,conj_grid,0,3,26,targ_class1,76.0,11.0
19,prac2_conj,conj_grid,0,3,27,targ_class1,248.0,-1.0
19,prac2_conj,conj_grid,0,3,28,dist_class1,332.0,9.0
19,prac2_conj,conj_grid,0,3,29,dist_class1,-315.0,123.0
19,prac2_conj,conj_grid,0,3,30,dist_class2,-195.0,129.0
19,prac2_conj,conj_grid,0,3,31,targ_class1,-109.0,106.0
19,prac2_conj,conj_grid,0,3,32,targ_class2,10.0,119.0
19,prac2_conj,conj_grid,0,3,33,dist_class1,119.0,121.0
19,prac2_conj,conj_grid,0,3,34,targ_class1,208.0,109.0
19,prac2_conj,conj_grid,0,3,35,targ_class1,329.0,82.0
19,prac2_conj,conj_grid,0,3,36,dist_class1,-307.0,220.0
19,prac2_conj,conj_grid,0,3,37,targ_class1,-194.0,246.0
19,prac2_conj,conj_grid,0,3,38,dist_class2,-96.0,214.0
19,prac2_conj,conj_grid,0,3,39,dist_class2,-11.0,222.0
19,prac2_conj,conj_grid,0,3,40,targ_class1,126.0,218.0
19,prac2_conj,conj_grid,0,3,41,dist_class1,232.0,208.0
19,prac2_conj,conj_grid,0,3,42,targ_class1,291.0,232.0
19,prac2_conj,conj_grid,0,3,43,dist_class2,-324.0,303.0
19,prac2_conj,conj_grid,0,3,44,targ_class2,-202.0,337.0
19,prac2_conj,conj_grid,0,3,45,dist_class1,-103.0,348.0
19,prac2_conj,conj_grid,0,3,46,targ_class2,-2.0,353.0
19,prac2_conj,conj_grid,0,3,47,dist_class1,104.0,306.0
19,prac2_conj,conj_grid,0,3,48,dist_class2,188.0,338.0
19,prac2_conj,conj_grid,0,3,49,dist_class2,354.0,343.0
19,prac2_conj,conj_grid,0,4,1,dist_class2,-305.0,-330.0
19,prac2_conj,conj_grid,0,4,2,dist_class1,-226.0,-347.0
19,prac2_conj,conj_grid,0,4,3,targ_class2,-149.0,-340.0
19,prac2_conj,conj_grid,0,4,4,targ_class1,-2.0,-310.0
19,prac2_conj,conj_grid,0,4,5,targ_class2,111.0,-332.0
19,prac2_conj,conj_grid,0,4,6,targ_class1,236.0,-331.0
19,prac2_conj,conj_grid,0,4,7,targ_class2,325.0,-318.0
19,prac2_conj,conj_grid,0,4,8,targ_class1,-337.0,-205.0
19,prac2_conj,conj_grid,0,4,9,targ_class2,-199.0,-216.0
19,prac2_conj,conj_grid,0,4,10,dist_class2,-122.0,-228.0
19,prac2_conj,conj_grid,0,4,11,dist_class2,-41.0,-192.0
19,prac2_conj,conj_grid,0,4,12,dist_class2,122.0,-236.0
19,prac2_conj,conj_grid,0,4,13,targ_class1,212.0,-219.0
19,prac2_conj,conj_grid,0,4,14,dist_class2,318.0,-240.0
19,prac2_conj,conj_grid,0,4,15,dist_class2,-325.0,-134.0
19,prac2_conj,conj_grid,0,4,16,dist_class1,-217.0,-102.0
19,prac2_conj,conj_grid,0,4,17,dist_class2,-102.0,-82.0
19,prac2_conj,conj_grid,0,4,18,dist_class1,-0.0,-99.0
19,prac2_conj,conj_grid,0,4,19,dist_class2,80.0,-93.0
19,prac2_conj,conj_grid,0,4,20,dist_class1,218.0,-91.0
19,prac2_conj,conj_grid,0,4,21,targ_class1,319.0,-166.0
19,prac2_conj,conj_grid,0,4,22,targ_class2,-323.0,-16.0
19,prac2_conj,conj_grid,0,4,23,dist_class1,-227.0,10.0
19,prac2_conj,conj_grid,0,4,24,dist_class2,-104.0,7.0
19,prac2_conj,conj_grid,0,4,25,targ_class2,2.0,20.0
19,prac2_conj,conj_grid,0,4,26,targ_class2,84.0,-3.0
19,prac2_conj,conj_grid,0,4,27,targ_class2,216.0,-10.0
19,prac2_conj,conj_grid,0,4,28,dist_class1,346.0,4.0
19,prac2_conj,conj_grid,0,4,29,targ_class2,-334.0,106.0
19,prac2_conj,conj_grid,0,4,30,targ_class1,-235.0,96.0
19,prac2_conj,conj_grid,0,4,31,targ_class1,-90.0,100.0
19,prac2_conj,conj_grid,0,4,32,targ_class1,-13.0,102.0
19,prac2_conj,conj_grid,0,4,33,dist_class1,118.0,115.0
19,prac2_conj,conj_grid,0,4,34,targ_class2,177.0,86.0
19,prac2_conj,conj_grid,0,4,35,dist_class2,301.0,123.0
19,prac2_conj,conj_grid,0,4,36,dist_class1,-275.0,234.0
19,prac2_conj,conj_grid,0,4,37,targ_class2,-199.0,213.0
19,prac2_conj,conj_grid,0,4,38,targ_class1,-114.0,193.0
19,prac2_conj,conj_grid,0,4,39,targ_class1,6.0,199.0
19,prac2_conj,conj_grid,0,4,40,targ_class1,118.0,196.0
19,prac2_conj,conj_grid,0,4,41,dist_class2,237.0,232.0
19,prac2_conj,conj_grid,0,4,42,targ_class2,366.0,209.0
19,prac2_conj,conj_grid,0,4,43,dist_class1,-334.0,347.0
19,prac2_conj,conj_grid,0,4,44,dist_class1,-193.0,335.0
19,prac2_conj,conj_grid,0,4,45,dist_class2,-97.0,303.0
19,prac2_conj,conj_grid,0,4,46,dist_class1,-9.0,339.0
19,prac2_conj,conj_grid,0,4,47,dist_class2,113.0,343.0
19,prac2_conj,conj_grid,0,4,48,dist_class1,215.0,333.0
19,prac2_conj,conj_grid,0,4,49,targ_class1,334.0,294.0
19,prac2_conj,conj_grid,1,1,1,targ_class1,-285.0,-324.0
19,prac2_conj,conj_grid,1,1,2,dist_class2,-208.0,-321.0
19,prac2_conj,conj_grid,1,1,3,targ_class2,-83.0,-309.0
19,prac2_conj,conj_grid,1,1,4,dist_class1,6.0,-346.0
19,prac2_conj,conj_grid,1,1,5,targ_class1,121.0,-314.0
19,prac2_conj,conj_grid,1,1,6,targ_class1,227.0,-383.0
19,prac2_conj,conj_grid,1,1,7,targ_class2,334.0,-302.0
19,prac2_conj,conj_grid,1,1,8,targ_class2,-345.0,-206.0
19,prac2_conj,conj_grid,1,1,9,dist_class2,-212.0,-224.0
19,prac2_conj,conj_grid,1,1,10,targ_class1,-104.0,-198.0
19,prac2_conj,conj_grid,1,1,11,dist_class2,-6.0,-222.0
19,prac2_conj,conj_grid,1,1,12,targ_class2,130.0,-224.0
19,prac2_conj,conj_grid,1,1,13,targ_class1,239.0,-229.0
19,prac2_conj,conj_grid,1,1,14,dist_class1,342.0,-219.0
19,prac2_conj,conj_grid,1,1,15,dist_class2,-315.0,-74.0
19,prac2_conj,conj_grid,1,1,16,dist_class2,-240.0,-129.0
19,prac2_conj,conj_grid,1,1,17,targ_class2,-103.0,-123.0
19,prac2_conj,conj_grid,1,1,18,targ_class2,-0.0,-127.0
19,prac2_conj,conj_grid,1,1,19,dist_class2,97.0,-118.0
19,prac2_conj,conj_grid,1,1,20,dist_class1,185.0,-114.0
19,prac2_conj,conj_grid,1,1,21,dist_class1,315.0,-122.0
19,prac2_conj,conj_grid,1,1,22,dist_class1,-332.0,21.0
19,prac2_conj,conj_grid,1,1,23,targ_class1,-202.0,-13.0
19,prac2_conj,conj_grid,1,1,24,targ_class2,-101.0,31.0
19,prac2_conj,conj_grid,1,1,25,dist_class2,8.0,-14.0
19,prac2_conj,conj_grid,1,1,26,dist_class1,134.0,7.0
19,prac2_conj,conj_grid,1,1,27,targ_class2,216.0,7.0
19,prac2_conj,conj_grid,1,1,28,targ_class2,313.0,23.0
19,prac2_conj,conj_grid,1,1,29,targ_class2,-341.0,119.0
19,prac2_conj,conj_grid,1,1,30,targ_class1,-211.0,113.0
19,prac2_conj,conj_grid,1,1,31,dist_class2,-125.0,112.0
19,prac2_conj,conj_grid,1,1,32,dist_class1,-15.0,103.0
19,prac2_conj,conj_grid,1,1,33,dist_class1,63.0,91.0
19,prac2_conj,conj_grid,1,1,34,dist_class1,227.0,129.0
19,prac2_conj,conj_grid,1,1,35,dist_class1,300.0,132.0
19,prac2_conj,conj_grid,1,1,36,targ_class2,-287.0,225.0
19,prac2_conj,conj_grid,1,1,37,dist_class2,-213.0,241.0
19,prac2_conj,conj_grid,1,1,38,dist_class2,-94.0,230.0
19,prac2_conj,conj_grid,1,1,39,targ_class2,-4.0,211.0
19,prac2_conj,conj_grid,1,1,40,dist_class2,112.0,215.0
19,prac2_conj,conj_grid,1,1,41,dist_class2,221.0,246.0
19,prac2_conj,conj_grid,1,1,42,dist_class1,321.0,256.0
19,prac2_conj,conj_grid,1,1,43,dist_class1,-357.0,304.0
19,prac2_conj,conj_grid,1,1,44,targ_class1,-213.0,333.0
19,prac2_conj,conj_grid,1,1,45,dist_class2,-76.0,326.0
19,prac2_conj,conj_grid,1,1,46,targ_class1,26.0,363.0
19,prac2_conj,conj_grid,1,1,47,targ_class1,105.0,351.0
19,prac2_conj,conj_grid,1,1,48,targ_class1,241.0,325.0
19,prac2_conj,conj_grid,1,1,49,targ_class1,315.0,316.0
19,conjunction_blocks,conj_grid,1,1,1,dist_class1,-303.0,-316.0
19,conjunction_blocks,conj_grid,1,1,2,targ_class1,-227.0,-321.0
19,conjunction_blocks,conj_grid,1,1,3,dist_class1,-103.0,-319.0
19,conjunction_blocks,conj_grid,1,1,4,targ_class2,-8.0,-331.0
19,conjunction_blocks,conj_grid,1,1,5,dist_class1,112.0,-336.0
19,conjunction_blocks,conj_grid,1,1,6,dist_class2,222.0,-350.0
19,conjunction_blocks,conj_grid,1,1,7,dist_class1,353.0,-298.0
19,conjunction_blocks,conj_grid,1,1,8,dist_class2,-331.0,-191.0
19,conjunction_blocks,conj_grid,1,1,9,dist_class1,-191.0,-229.0
19,conjunction_blocks,conj_grid,1,1,10,targ_class2,-102.0,-210.0
19,conjunction_blocks,conj_grid,1,1,11,dist_class2,-9.0,-220.0
19,conjunction_blocks,conj_grid,1,1,12,dist_class2,120.0,-207.0
19,conjunction_blocks,conj_grid,1,1,13,targ_class1,228.0,-220.0
19,conjunction_blocks,conj_grid,1,1,14,targ_class1,315.0,-216.0
19,conjunction_blocks,conj_grid,1,1,15,targ_class2,-334.0,-131.0
19,conjunction_blocks,conj_grid,1,1,16,dist_class1,-188.0,-101.0
19,conjunction_blocks,conj_grid,1,1,17,targ_class1,-131.0,-99.0
19,conjunction_blocks,conj_grid,1,1,18,targ_class2,-4.0,-95.0
19,conjunction_blocks,conj_grid,1,1,19,targ_class2,109.0,-90.0
19,conjunction_blocks,conj_grid,1,1,20,dist_class1,223.0,-78.0
19,conjunction_blocks,conj_grid,1,1,21,dist_class2,314.0,-116.0
19,conjunction_blocks,conj_grid,1,1,22,targ_class2,-324.0,15.0
19,conjunction_blocks,conj_grid,1,1,23,targ_class2,-234.0,0.0
19,conjunction_blocks,conj_grid,1,1,24,dist_class2,-115.0,36.0
19,conjunction_blocks,conj_grid,1,1,25,targ_class2,-14.0,11.0
19,conjunction_blocks,conj_grid,1,1,26,targ_class1,115.0,24.0
19,conjunction_blocks,conj_grid,1,1,27,targ_class2,240.0,-24.0
19,conjunction_blocks,conj_grid,1,1,28,targ_class1,350.0,20.0
19,conjunction_blocks,conj_grid,1,1,29,dist_class2,-336.0,94.0
19,conjunction_blocks,conj_grid,1,1,30,targ_class1,-217.0,85.0
19,conjunction_blocks,conj_grid,1,1,31,dist_class1,-98.0,99.0
19,conjunction_blocks,conj_grid,1,1,32,dist_class2,0.0,114.0
19,conjunction_blocks,conj_grid,1,1,33,targ_class2,83.0,129.0
19,conjunction_blocks,conj_grid,1,1,34,dist_class2,226.0,122.0
19,conjunction_blocks,conj_grid,1,1,35,targ_class1,327.0,98.0
19,conjunction_blocks,conj_grid,1,1,36,targ_class1,-360.0,235.0
19,conjunction_blocks,conj_grid,1,1,37,dist_class1,-240.0,213.0
19,conjunction_blocks,conj_grid,1,1,38,targ_class1,-110.0,204.0
19,conjunction_blocks,conj_grid,1,1,39,dist_class2,9.0,225.0
19,conjunction_blocks,conj_grid,1,1,40,dist_class2,94.0,185.0
19,conjunction_blocks,conj_grid,1,1,41,dist_class1,200.0,203.0
19,conjunction_blocks,conj_grid,1,1,42,dist_class2,312.0,183.0
19,conjunction_blocks,conj_grid,1,1,43,targ_class1,-327.0,349.0
19,conjunction_blocks,conj_grid,1,1,44,targ_class2,-194.0,339.0
19,conjunction_blocks,conj_grid,1,1,45,targ_class1,-93.0,341.0
19,conjunction_blocks,conj_grid,1,1,46,dist_class1,2.0,331.0
19,conjunction_blocks,conj_grid,1,1,47,dist_class1,118.0,333.0
19,conjunction_blocks,conj_grid,1,1,48,targ_class2,219.0,332.0
19,conjunction_blocks,conj_grid,1,1,49,dist_class2,312.0,321.0
19,conjunction_blocks,conj_grid,4,1,1,dist_class2,-318.0,-340.0
19,conjunction_blocks,conj_grid,4,1,2,targ_class1,-205.0,-326.0
19,conjunction_blocks,conj_grid,4,1,3,targ_class1,-127.0,-292.0
19,conjunction_blocks,conj_grid,4,1,4,dist_class2,-9.0,-354.0
19,conjunction_blocks,conj_grid,4,1,5,dist_class2,111.0,-312.0
19,conjunction_blocks,conj_grid,4,1,6,dist_class2,231.0,-295.0
19,conjunction_blocks,conj_grid,4,1,7,dist_class1,343.0,-307.0
19,conjunction_blocks,conj_grid,4,1,8,dist_class2,-315.0,-229.0
19,conjunction_blocks,conj_grid,4,1,9,dist_class2,-215.0,-198.0
19,conjunction_blocks,conj_grid,4,1,10,dist_class2,-110.0,-235.0
19,conjunction_blocks,conj_grid,4,1,11,dist_class1,-13.0,-220.0
19,conjunction_blocks,conj_grid,4,1,12,targ_class2,62.0,-217.0
19,conjunction_blocks,conj_grid,4,1,13,targ_class2,234.0,-214.0
19,conjunction_blocks,conj_grid,4,1,14,targ_class2,313.0,-235.0
19,conjunction_blocks,conj_grid,4,1,15,dist_class2,-318.0,-88.0
19,conjunction_blocks,conj_grid,4,1,16,dist_class1,-206.0,-89.0
19,conjunction_blocks,conj_grid,4,1,17,dist_class2,-99.0,-96.0
19,conjunction_blocks,conj_grid,4,1,18,dist_class1,25.0,-116.0
19,conjunction_blocks,conj_grid,4,1,19,targ_class1,121.0,-92.0
19,conjunction_blocks,conj_grid,4,1,20,targ_class1,204.0,-109.0
19,conjunction_blocks,conj_grid,4,1,21,targ_class2,306.0,-94.0
19,conjunction_blocks,conj_grid,4,1,22,dist_class1,-321.0,-14.0
19,conjunction_blocks,conj_grid,4,1,23,targ_class2,-209.0,1.0
19,conjunction_blocks,conj_grid,4,1,24,targ_class1,-109.0,-4.0
19,conjunction_blocks,conj_grid,4,1,25,dist_class1,38.0,-2.0
19,conjunction_blocks,conj_grid,4,1,26,dist_class1,141.0,27.0
19,conjunction_blocks,conj_grid,4,1,27,targ_class1,212.0,-20.0
19,conjunction_blocks,conj_grid,4,1,28,targ_class2,328.0,-25.0
19,conjunction_blocks,conj_grid,4,1,29,dist_class1,-354.0,112.0
19,conjunction_blocks,conj_grid,4,1,30,dist_class1,-242.0,127.0
19,conjunction_blocks,conj_grid,4,1,31,targ_class1,-117.0,130.0
19,conjunction_blocks,conj_grid,4,1,32,dist_class2,-7.0,113.0
19,conjunction_blocks,conj_grid,4,1,33,targ_class1,137.0,127.0
19,conjunction_blocks,conj_grid,4,1,34,dist_class1,204.0,123.0
19,conjunction_blocks,conj_grid,4,1,35,targ_class1,310.0,107.0
19,conjunction_blocks,conj_grid,4,1,36,dist_class2,-327.0,192.0
19,conjunction_blocks,conj_grid,4,1,37,targ_class2,-207.0,203.0
19,conjunction_blocks,conj_grid,4,1,38,targ_class2,-102.0,202.0
19,conjunction_blocks,conj_grid,4,1,39,dist_class1,-32.0,196.0
19,conjunction_blocks,conj_grid,4,1,40,dist_class2,116.0,205.0
19,conjunction_blocks,conj_grid,4,1,41,targ_class2,225.0,217.0
19,conjunction_blocks,conj_grid,4,1,42,targ_class1,311.0,215.0
19,conjunction_blocks,conj_grid,4,1,43,targ_class1,-324.0,330.0
19,conjunction_blocks,conj_grid,4,1,44,targ_class2,-196.0,325.0
19,conjunction_blocks,conj_grid,4,1,45,targ_class2,-126.0,312.0
19,conjunction_blocks,conj_grid,4,1,46,dist_class1,0.0,351.0
19,conjunction_blocks,conj_grid,4,1,47,targ_class2,105.0,330.0
19,conjunction_blocks,conj_grid,4,1,48,targ_class1,206.0,344.0
19,conjunction_blocks,conj_grid,4,1,49,dist_class2,322.0,314.0
19,conjunction_blocks,conj_rot,5,1,1,targ_class1,7.0,-453.0
19,conjunction_blocks,conj_rot,5,1,2,dist_class1,92.0,-398.0
19,conjunction_blocks,conj_rot,5,1,3,targ_class1,158.0,-311.0
19,conjunction_blocks,conj_rot,5,1,4,dist_class2,226.0,-244.0
19,conjunction_blocks,conj_rot,5,1,5,targ_class2,305.0,-173.0
19,conjunction_blocks,conj_rot,5,1,6,targ_class2,399.0,-54.0
19,conjunction_blocks,conj_rot,5,1,7,targ_class2,454.0,-29.0
19,conjunction_blocks,conj_rot,5,1,8,dist_class1,-56.0,-388.0
19,conjunction_blocks,conj_rot,5,1,9,dist_class2,42.0,-295.0
19,conjunction_blocks,conj_rot,5,1,10,targ_class2,79.0,-210.0
19,conjunction_blocks,conj_rot,5,1,11,dist_class1,159.0,-151.0
19,conjunction_blocks,conj_rot,5,1,12,dist_class1,254.0,-80.0
19,conjunction_blocks,conj_rot,5,1,13,targ_class1,295.0,34.0
19,conjunction_blocks,conj_rot,5,1,14,targ_class1,412.0,75.0
19,conjunction_blocks,conj_rot,5,1,15,targ_class2,-164.0,-290.0
19,conjunction_blocks,conj_rot,5,1,16,dist_class2,-38.0,-237.0
19,conjunction_blocks,conj_rot,5,1,17,dist_class2,-48.0,-160.0
19,conjunction_blocks,conj_rot,5,1,18,targ_class2,45.0,-86.0
19,conjunction_blocks,conj_rot,5,1,19,targ_class2,121.0,9.0
19,conjunction_blocks,conj_rot,5,1,20,targ_class2,229.0,76.0
19,conjunction_blocks,conj_rot,5,1,21,targ_class1,315.0,148.0
19,conjunction_blocks,conj_rot,5,1,22,targ_class1,-221.0,-227.0
19,conjunction_blocks,conj_rot,5,1,23,targ_class1,-148.0,-183.0
19,conjunction_blocks,conj_rot,5,1,24,dist_class1,-89.0,-46.0
19,conjunction_blocks,conj_rot,5,1,25,dist_class1,-10.0,11.0
19,conjunction_blocks,conj_rot,5,1,26,targ_class1,99.0,100.0
19,conjunction_blocks,conj_rot,5,1,27,dist_class1,153.0,148.0
19,conjunction_blocks,conj_rot,5,1,28,dist_class2,203.0,230.0
19,conjunction_blocks,conj_rot,5,1,29,targ_class1,-302.0,-185.0
19,conjunction_blocks,conj_rot,5,1,30,dist_class1,-236.0,-45.0
19,conjunction_blocks,conj_rot,5,1,31,dist_class1,-161.0,1.0
19,conjunction_blocks,conj_rot,5,1,32,targ_class1,-63.0,69.0
19,conjunction_blocks,conj_rot,5,1,33,targ_class2,-12.0,129.0
19,conjunction_blocks,conj_rot,5,1,34,dist_class2,95.0,241.0
19,conjunction_blocks,conj_rot,5,1,35,targ_class1,153.0,289.0
19,conjunction_blocks,conj_rot,5,1,36,dist_class1,-421.0,-62.0
19,conjunction_blocks,conj_rot,5,1,37,targ_class2,-296.0,4.0
